Designator,Mid X,Mid Y,Rotation,Layer
C1,141.0625,-75.5,180.0,bottom
C2,145.9125,-75.5,0.0,bottom
C3,141.0625,-78.45,180.0,bottom
J1,148.3,-86.85,0.0,bottom
R3,141.0925,-72.95,180.0,bottom
R4,145.8825,-72.95,0.0,bottom
R5,145.8825,-78.35,0.0,bottom
SW1,135.9825,-73.35,0.0,top
